type	id	chrom	strand	Up-stream Exon	Cassette Exon	Down-stream Exon	4th Exon	Transcrtip IDs	Region
CAS	chr1:+:AADACL3:CAS:0	chr1	+	12776118:12776347	12779477:12779693	12780885:12780948	N/A	NR_111984,NM_001103170	chr1:12776118-12780948
CAS	chr1:+:ADAMTSL4:CAS:0	chr1	+	150526841:150526943	150527042:150527110	150527905:150528041	N/A	NM_019032,NM_001288607;NM_019032,NM_001288608;NM_025008,NM_001288607;NM_025008,NM_001288608	chr1:150526841-150528041
CAS	chr1:-:ADCY10:CAS:0	chr1	-	167871254:167871292	167870900:167871043	167868661:167868866	N/A	NM_001167749,NM_018417	chr1:167868661-167871292
CAS	chr1:+:ADORA1:CAS:0	chr1	+	203096836:203097056	203097406:203097560	203097913:203098310	N/A	NM_001048230,NM_000674	chr1:203096836-203098310
CAS	chr1:+:AGO3:CAS:0	chr1	+	36411293:36411464	36432556:36432676	36437625:36437833	N/A	NM_177422,NM_024852	chr1:36411293-36437833
CAS	chr1:+:AGO3:CAS:1	chr1	+	36437625:36437833	36438976:36439112	36469942:36470076	N/A	NM_177422,NM_024852	chr1:36437625-36470076
CAS	chr1:-:AK2:CAS:0	chr1	-	33502337:33502512	33497145:33497262	33490043:33490168	N/A	NM_001199199,NR_037591;NM_001199199,NR_037592;NM_001625,NR_037591;NM_001625,NR_037592;NM_013411,NR_037591;NM_013411,NR_037592	chr1:33490043-33502512
CAS	chr1:+:AKIRIN1:CAS:0	chr1	+	39463843:39463983	39466644:39466778	39469019:39469090	N/A	NM_001136275,NM_024595	chr1:39463843-39469090
CAS	chr1:-:AKNAD1:CAS:0	chr1	-	109365992:109366099	109363167:109363248	109359670:109359799	N/A	NR_049760,NM_152763	chr1:109359670-109366099
CAS	chr1:+:ALPL:CAS:0	chr1	+	21835858:21836010	21880471:21880635	21887119:21887238	N/A	NM_001127501,NM_000478;NM_001177520,NM_000478	chr1:21835858-21887238
CAS	chr1:+:ALPL:CAS:1	chr1	+	21887119:21887238	21887590:21887705	21889603:21889777	N/A	NM_001177520,NM_000478;NM_001177520,NM_001127501	chr1:21887119-21889777
CAS	chr1:-:AMPD1:CAS:0	chr1	-	115238071:115238239	115236057:115236068	115231182:115231362	N/A	NM_001172626,NM_000036	chr1:115231182-115238239
CAS	chr1:+:ARHGEF10L:CAS:0	chr1	+	17934297:17934472	17939553:17939669	17942589:17942697	N/A	NM_001011722,NM_018125	chr1:17934297-17942697
CAS	chr1:-:ARHGEF11:CAS:0	chr1	-	156946775:156946846	156941489:156941608	156939790:156939835	N/A	NM_014784,NM_198236	chr1:156939790-156946846
CAS	chr1:-:ARID4B:CAS:0	chr1	-	235383108:235383283	235377084:235377341	235359346:235359430	N/A	NM_031371,NM_001206794;NM_031371,NM_016374	chr1:235359346-235383283
CAS	chr1:-:ARL8A:CAS:0	chr1	-	202104835:202104928	202104587:202104654	202104278:202104348	N/A	NM_001256129,NM_138795	chr1:202104278-202104928
CAS	chr1:-:ARNT:CAS:0	chr1	-	150818739:150818783	150814900:150814944	150811917:150812130	N/A	NM_001197325,NM_001286035;NM_001197325,NM_001286036;NM_001197325,NM_001668;NM_178427,NM_001286035;NM_178427,NM_001286036;NM_178427,NM_001668	chr1:150811917-150818783
CAS	chr1:-:ARNT:CAS:1	chr1	-	150849019:150849244	150833723:150833778	150830825:150830936	N/A	NM_001197325,NM_001286035;NM_001286036,NM_001286035;NM_001668,NM_001286035;NM_178427,NM_001286035	chr1:150830825-150849244
CAS	chr1:+:ARTN:CAS:0	chr1	+	44398992:44399557	44399784:44399932	44401262:44401388	N/A	NM_001136215,NM_057090;NM_001136215,NM_057091	chr1:44398992-44401388
CAS	chr1:-:ASPM:CAS:0	chr1	-	197086919:197087113	197069561:197074315	197065128:197065294	N/A	NM_001206846,NM_018136	chr1:197065128-197087113
CAS	chr1:-:ATP13A2:CAS:0	chr1	-	17313300:17313451	17312958:17313127	17312453:17312853	N/A	NM_001141974,NM_001141973;NM_001141974,NM_022089	chr1:17312453-17313451
CAS	chr1:-:ATP13A2:CAS:1	chr1	-	17316622:17316782	17316382:17316498	17316186:17316265	N/A	NM_001141974,NM_001141973;NM_001141974,NM_022089	chr1:17316186-17316782
CAS	chr1:+:ATP2B4:CAS:0	chr1	+	203696523:203696699	203702351:203702528	203708674:203713209	N/A	NM_001684,NM_001001396	chr1:203696523-203713209
CAS	chr1:+:ATP6V0B:CAS:0	chr1	+	44440320:44440779	44441472:44441520	44441762:44441845	N/A	NM_001039457,NM_001294333;NM_001039457,NM_004047	chr1:44440320-44441845
CAS	chr1:-:ATP6V1G3:CAS:0	chr1	-	198509699:198509815	198505809:198505854	198498211:198498311	N/A	NM_133262,NM_133326	chr1:198498211-198509815
CAS	chr1:-:ATPAF1:CAS:0	chr1	-	47130928:47131036	47129505:47129595	47124359:47124409	N/A	NM_001042546,NM_001256418;NM_001243728,NM_001256418;NM_022745,NM_001256418	chr1:47124359-47131036
CAS	chr1:+:AXDND1:CAS:0	chr1	+	179401402:179401477	179414105:179414339	179437578:179437776	N/A	NR_073544,NM_144696	chr1:179401402-179437776
CAS	chr1:+:AXDND1:CAS:1	chr1	+	179461990:179462086	179475968:179476061	179478431:179478538	N/A	NM_144696,NR_073544	chr1:179461990-179478538
CAS	chr1:-:B3GALNT2:CAS:0	chr1	-	235667441:235667781	235659496:235659618	235657991:235658138	N/A	NM_152490,NM_001277155	chr1:235657991-235667781
CAS	chr1:-:BAI2:CAS:0	chr1	-	32201181:32201266	32200784:32200882	32198573:32198744	N/A	NM_001294336,NM_001294335	chr1:32198573-32201266
CAS	chr1:-:BPNT1:CAS:0	chr1	-	220247309:220247413	220246192:220246299	220242726:220242774	N/A	NM_001286150,NM_001286149;NM_001286150,NM_001286151;NM_001286150,NM_006085	chr1:220242726-220247413
CAS	chr1:+:BTF3L4:CAS:0	chr1	+	52521857:52522051	52525507:52525573	52530497:52530610	N/A	NM_001136497,NM_001243767;NM_001136497,NM_152265	chr1:52521857-52530610
CAS	chr1:+:BTF3L4:CAS:1	chr1	+	52530497:52530610	52549012:52549213	52551784:52551843	N/A	NM_001243767,NM_001136497;NM_001243767,NM_152265	chr1:52530497-52551843
CAS	chr1:+:C1orf101:CAS:0	chr1	+	244624673:244624796	244627210:244627258	244640843:244640916	N/A	NM_001242340,NM_001130957;NM_001242340,NM_173807	chr1:244624673-244640916
CAS	chr1:+:C1orf101:CAS:1	chr1	+	244773542:244773628	244780831:244780988	244798791:244798844	N/A	NM_173807,NM_001130957;NM_173807,NM_001242340	chr1:244773542-244798844
CAS	chr1:-:C1orf116:CAS:0	chr1	-	207205924:207206101	207200839:207201024	207198232:207198409	N/A	NM_001083924,NM_023938	chr1:207198232-207206101
CAS	chr1:-:C1orf141:CAS:0	chr1	-	67561935:67562004	67560918:67561104	67557859:67559287	N/A	NM_001276352,NM_001276351;NR_075077,NM_001276351	chr1:67557859-67562004
CAS	chr1:+:C1orf177:CAS:0	chr1	+	55282662:55282795	55307289:55307375	55307474:55307937	N/A	NM_001110533,NM_152607	chr1:55282662-55307937
CAS	chr1:+:C1orf27:CAS:0	chr1	+	186352154:186352288	186355120:186355215	186357574:186357680	N/A	NM_001164246,NM_001164245;NM_001164246,NM_017847	chr1:186352154-186357680
CAS	chr1:+:C1orf27:CAS:1	chr1	+	186360828:186360923	186363079:186363147	186367445:186367573	N/A	NM_001164245,NM_001164246;NM_001164245,NM_017847	chr1:186360828-186367573
CAS	chr1:-:C1orf43:CAS:0	chr1	-	154186933:154187050	154186369:154186422	154184934:154185100	N/A	NM_138740,NM_001098616;NM_138740,NM_015449	chr1:154184934-154187050
CAS	chr1:-:C1orf43:CAS:1	chr1	-	154192818:154193273	154192312:154192413	154186933:154187050	N/A	NM_015449,NM_001098616;NM_138740,NM_001098616	chr1:154186933-154193273
CAS	chr1:+:C1orf50:CAS:0	chr1	+	43232916:43233061	43233180:43233295	43239234:43239320	N/A	NR_040733,NM_024097	chr1:43232916-43239320
CAS	chr1:-:C1orf52:CAS:0	chr1	-	85725041:85725355	85724618:85724744	85724207:85724405	N/A	NM_198077,NR_024113	chr1:85724207-85725355
