##event_type	event_id	chr	strand	e1	e2	e3	e4	alt_transcript_supports	event_coordinate
CAS	chr1:+:AADACL3:CAS:0	chr1	+	12776118:12776347	12779477:12779693	12780885:12780948	N/A	NR_111984,NM_001103170	chr1:12776118-12780948
AFE	chr1:-:ABL2:AFE:0	chr1	-	179198376:179198819	179112068:179112224	179100446:179100616	N/A	NM_001136001,NM_001168239;NM_001168236,NM_001168239;NM_001168238,NM_001168239	chr1:179100446-179198819
AFE	chr1:-:ABL2:AFE:1	chr1	-	179198376:179198819	179112068:179112224	179102447:179102509	N/A	NM_001168237,NM_001136000;NM_001168237,NM_005158;NM_007314,NM_001136000;NM_007314,NM_005158	chr1:179102447-179198819
A3SS	chr1:+:ACADM:A3SS:0	chr1	+	76190032:76190502	76194074:76194173	76194086:76194173	N/A	NM_000016,NM_001127328;NM_001286043,NM_001127328	chr1:76190032-76194173
AFE	chr1:-:ACOT7:AFE:0	chr1	-	6420630:6420764	6418886:6419004	6409809:6409926	N/A	NM_181865,NM_181866	chr1:6409809-6420764
AFE	chr1:-:ACOT7:AFE:1	chr1	-	6445554:6445883	6418886:6419004	6409809:6409926	N/A	NM_181864,NM_181866	chr1:6409809-6445883
AFE	chr1:-:ACOT7:AFE:2	chr1	-	6445554:6445883	6420630:6420764	6409809:6409926	N/A	NM_181864,NM_181865	chr1:6409809-6445883
AFE	chr1:-:ACOT7:AFE:3	chr1	-	6453317:6453826	6418886:6419004	6409809:6409926	N/A	NM_007274,NM_181866	chr1:6409809-6453826
AFE	chr1:-:ACOT7:AFE:4	chr1	-	6453317:6453826	6420630:6420764	6409809:6409926	N/A	NM_007274,NM_181865	chr1:6409809-6453826
AFE	chr1:-:ACOT7:AFE:5	chr1	-	6453317:6453826	6445554:6445883	6409809:6409926	N/A	NM_007274,NM_181864	chr1:6409809-6453826
A5SS	chr1:+:ADAM15:A5SS:0	chr1	+	155034380:155034451	155034380:155034593	155034721:155034845	N/A	NM_207195,NR_048577;NM_207195,NR_048578;NM_207195,NR_048579;NM_207196,NR_048577;NM_207196,NR_048578;NM_207196,NR_048579;NM_207197,NR_048577;NM_207197,NR_048578;NM_207197,NR_048579	chr1:155034380-155034845
A3SS	chr1:+:ADAM15:A3SS:0	chr1	+	155023748:155023941	155025117:155025253	155025147:155025253	N/A	NM_001261465,NM_001261464;NM_003815,NM_001261464;NM_207191,NM_001261464;NM_207194,NM_001261464;NM_207195,NM_001261464;NM_207196,NM_001261464;NM_207197,NM_001261464;NR_048577,NM_001261464;NR_048578,NM_001261464;NR_048579,NM_001261464	chr1:155023748-155025253
A3SS	chr1:+:ADAM15:A3SS:1	chr1	+	155033239:155033308	155033891:155033965	155033894:155033965	N/A	NM_207196,NM_207194;NM_207196,NM_207197;NM_207196,NR_048578;NR_048577,NM_207194;NR_048577,NM_207197;NR_048577,NR_048578	chr1:155033239-155033965
CAS	chr1:+:ADAMTSL4:CAS:0	chr1	+	150526841:150526943	150527042:150527110	150527905:150528041	N/A	NM_019032,NM_001288607;NM_019032,NM_001288608;NM_025008,NM_001288607;NM_025008,NM_001288608	chr1:150526841-150528041
A5SS	chr1:-:ADAR:A5SS:0	chr1	-	154562738:154562885	154562660:154562885	154562233:154562404	N/A	NM_015840,NM_001025107;NM_015840,NM_001111;NM_015840,NM_001193495;NM_015841,NM_001025107;NM_015841,NM_001111;NM_015841,NM_001193495	chr1:154562233-154562885
A3SS	chr1:-:ADAR:A3SS:0	chr1	-	154569599:154569743	154569281:154569471	154569281:154569414	N/A	NM_015841,NM_001025107;NM_015841,NM_001111;NM_015841,NM_001193495;NM_015841,NM_015840	chr1:154569281-154569743
AFE	chr1:-:ADAR:AFE:0	chr1	-	154580468:154580724	154578482:154578776	154573517:154575102	N/A	NM_001111,NM_001193495;NM_015840,NM_001193495;NM_015841,NM_001193495	chr1:154573517-154580724
AFE	chr1:-:ADAR:AFE:1	chr1	-	154600331:154600456	154578482:154578776	154573517:154575102	N/A	NM_001025107,NM_001193495	chr1:154573517-154600456
AFE	chr1:-:ADAR:AFE:2	chr1	-	154600331:154600456	154580468:154580724	154573517:154575102	N/A	NM_001025107,NM_001111;NM_001025107,NM_015840;NM_001025107,NM_015841	chr1:154573517-154600456
CAS	chr1:-:ADCY10:CAS:0	chr1	-	167871254:167871292	167870900:167871043	167868661:167868866	N/A	NM_001167749,NM_018417	chr1:167868661-167871292
AFE	chr1:-:ADIPOR1:AFE:0	chr1	-	202927313:202927524	202927037:202927112	202920058:202920292	N/A	NM_015999,NM_001290553	chr1:202920058-202927524
AFE	chr1:-:ADIPOR1:AFE:1	chr1	-	202927603:202927700	202927313:202927524	202923369:202923435	N/A	NM_001290629,NM_001290557	chr1:202923369-202927700
CAS	chr1:+:ADORA1:CAS:0	chr1	+	203096836:203097056	203097406:203097560	203097913:203098310	N/A	NM_001048230,NM_000674	chr1:203096836-203098310
AFE	chr1:-:ADORA3:AFE:0	chr1	-	112106468:112106597	112045627:112046743	112033278:112033384	N/A	NM_001081976,NM_020683	chr1:112033278-112106597
A3SS	chr1:+:AGL:A3SS:0	chr1	+	100316045:100316174	100316531:100316680	100316591:100316680	N/A	NM_000644,NM_000643	chr1:100316045-100316680
AFE	chr1:+:AGL:AFE:0	chr1	+	100315640:100315971	100316045:100316174	100316531:100316680	N/A	NM_000642,NM_000643	chr1:100315640-100316680
AFE	chr1:+:AGL:AFE:1	chr1	+	100315640:100315971	100316045:100316454	100316531:100316680	N/A	NM_000642,NM_000028	chr1:100315640-100316680
CAS	chr1:+:AGO3:CAS:0	chr1	+	36411293:36411464	36432556:36432676	36437625:36437833	N/A	NM_177422,NM_024852	chr1:36411293-36437833
CAS	chr1:+:AGO3:CAS:1	chr1	+	36437625:36437833	36438976:36439112	36469942:36470076	N/A	NM_177422,NM_024852	chr1:36437625-36470076
A5SS	chr1:+:AGTRAP:A5SS:0	chr1	+	11808472:11808646	11808472:11808667	11810134:11810828	N/A	NM_001040194,NM_001040197;NM_001040194,NM_020350;NM_001040195,NM_001040197;NM_001040195,NM_020350;NM_001040196,NM_001040197;NM_001040196,NM_020350	chr1:11808472-11810828
AFE	chr1:+:AHCYL1:AFE:0	chr1	+	110527387:110527794	110546570:110547062	110551656:110551767	N/A	NM_006621,NM_001242676	chr1:110527387-110551767
AFE	chr1:+:AHCYL1:AFE:1	chr1	+	110527387:110527794	110546570:110547073	110551656:110551767	N/A	NM_006621,NM_001242675	chr1:110527387-110551767
AFE	chr1:+:AHCYL1:AFE:2	chr1	+	110527387:110528165	110546570:110547062	110551656:110551767	N/A	NM_001242673,NM_001242676	chr1:110527387-110551767
AFE	chr1:+:AHCYL1:AFE:3	chr1	+	110527387:110528165	110546570:110547073	110551656:110551767	N/A	NM_001242673,NM_001242675	chr1:110527387-110551767
ALE	chr1:+:AJAP1:ALE:0	chr1	+	4834487:4834618	4837461:4837854	4842605:4843851	N/A	NM_018836,NM_001042478	chr1:4834487-4843851
