CAS	11:+:0:0	chr11	+	47305728:47305832	47305925:47306116	47306491:47306745	N/A	N/A	11:47305728-47306745
CAS	11:+:0:1	chr11	+	47310518:47310578	47310941:47311044	47311417:47311620	N/A	N/A	11:47310518-47311620
CAS	11:+:0:2	chr11	+	47314077:47314147	47315433:47315534	47317046:47317130	N/A	N/A	11:47314077-47317130
CAS	4:+:1:0	chr4	+	16503163:16504754	16507462:16507605	16510157:16510309	N/A	N/A	4:16503163-16510309
CAS	1:+:2:0	chr1	+	155148363:155148707	155149407:155149551	155149670:155149766	N/A	N/A	1:155148363-155149766
CAS	6:+:3:0	chr6	+	136578000:136582253	136582402:136582615	136588166:136588313	N/A	N/A	6:136578000-136588313
CAS	19:+:4:0	chr19	+	51190000:51190069	51190273:51190297	51190838:51190919	N/A	N/A	19:51190000-51190919
CAS	19:+:4:1	chr19	+	51192453:51192661	51200352:51200379	51200845:51200921	N/A	N/A	19:51192453-51200921
CAS	3:+:5:0	chr3	+	100025280:100025387	100029246:100029386	100030676:100030721	N/A	N/A	3:100025280-100030721
CAS	2:+:6:0	chr2	+	231730378:231730500	231737945:231738053	231738131:231738272	N/A	N/A	2:231730378-231738272
CAS	1:+:7:0	chr1	+	201951751:201952241	201952457:201952644	201958031:201958172	N/A	N/A	1:201951751-201958172
CAS	12:+:8:0	chr12	+	49213418:49213725	49214340:49214471	49217126:49217249	N/A	N/A	12:49213418-49217249
CAS	10:+:9:0	chr10	+	27040526:27040712	27044583:27044670	27047990:27048167	N/A	N/A	10:27040526-27048167
CAS	1:+:10:0	chr1	+	109234944:109235489	109236211:109236264	109238323:109238392	N/A	N/A	1:109234944-109238392
CAS	12:+:11:0	chr12	+	54718985:54719060	54719367:54719466	54734155:54734399	N/A	N/A	12:54718985-54734399
CAS	2:+:12:0	chr2	+	71762397:71762441	71766286:71766369	71776479:71776521	N/A	N/A	2:71762397-71776521
CAS	2:+:12:1	chr2	+	71837908:71838047	71838374:71838476	71838594:71838756	N/A	N/A	2:71837908-71838756
CAS	1:+:13:0	chr1	+	3413218:3413347	3413551:3413683	3413796:3413925	N/A	N/A	1:3413218-3413925
CAS	16:+:14:0	chr16	+	1261715:1261805	1261945:1262171	1262510:1262528	N/A	N/A	16:1261715-1262528
CAS	5:+:15:0	chr5	+	122927012:122927108	122930732:122930828	122940417:122940524	N/A	N/A	5:122927012-122940524
CAS	7:+:16:0	chr7	+	44248005:44248306	44250440:44250530	44250621:44250723	N/A	N/A	7:44248005-44250723
CAS	6:+:17:0	chr6	+	3004400:3004493	3004728:3004885	3006701:3006793	N/A	N/A	6:3004400-3006793
CAS	3:+:18:0	chr3	+	39540957:39541023	39541357:39541558	39543553:39543766	N/A	N/A	3:39540957-39543766
CAS	19:+:19:0	chr19	+	18538160:18538233	18538561:18538623	18538707:18538792	N/A	N/A	19:18538160-18538792
CAS	19:+:20:0	chr19	+	1251837:1251900	1253952:1254081	1254165:1254477	N/A	N/A	19:1251837-1254477
CAS	10:+:21:0	chr10	+	97081719:97081778	97082502:97082562	97096277:97097051	N/A	N/A	10:97081719-97097051
CAS	10:+:21:1	chr10	+	97082502:97082562	97096277:97097051	97098889:97099084	N/A	N/A	10:97082502-97099084
CAS	10:+:21:2	chr10	+	97106162:97106209	97110965:97111133	97114638:97114724	N/A	N/A	10:97106162-97114724
CAS	10:+:21:3	chr10	+	97165874:97165904	97170389:97170534	97173309:97173521	N/A	N/A	10:97165874-97173521
CAS	10:+:21:4	chr10	+	97173309:97173521	97174250:97174619	97175225:97175942	N/A	N/A	10:97173309-97175942
CAS	10:+:21:5	chr10	+	97175225:97175942	97181717:97181830	97181946:97181973	N/A	N/A	10:97175225-97181973
CAS	X:+:22:0	chrX	+	153072733:153072824	153073305:153073594	153073796:153074050	N/A	N/A	X:153072733-153074050
CAS	1:+:23:0	chr1	+	156444899:156445029	156446285:156446306	156446803:156446994	N/A	N/A	1:156444899-156446994
CAS	5:+:24:0	chr5	+	149618262:149618311	149619266:149619299	149624723:149624891	N/A	N/A	5:149618262-149624891
